"part","section","subsection","topic","topic_tags","achievements","criteria_4","criteria_3","criteria_2","criteria_1","test"
"第１部","予測系タスク","全般","予測タスク","基礎概念",,,,,,
,,"|","教師付き学習","基礎概念","汎化概念の正確な理解",,,,,
,,"|","データの生成分布","基礎概念",,,,,,
,,"|","損失関数","目的関数",,,,,,
,,"|","リスク","基礎概念",,,,,,
,,"|","経験リスク","目的関数",,,,,,
,,"回帰","モデル","モデル",,,,,,
,,"|","最適化","最適化",,,,,,
,,"|","回帰タスク","タスク",,,,,,
,,"全般","過適合","基礎概念",,,,,,
,,"|","正則化","基礎概念","モデルの複雑性と正則化の関係の理解",,,,,
,,"|","|","正則化","L2正則化",,,,,
,,"|","性能評価","基礎概念","訓練損失とテスト損失の区別",,,,,
,,"|","|","基礎概念","リークに関する正確な理解",,,,,
,,"|","|","基礎概念","評価用データの設計",,,,,
,,"|","ハイパーパラメーター選択","モデル選択","モデル選択規準の全体像の理解",,,,,
,,"|","|","モデル選択","（交差）検証の正確な理解",,,,,
,,"|","|","モデル選択","その他の検証の理解",,,,,
,,"|","線型モデル","モデル","一般の線型モデル",,,,,
,,"|","|","モデル","カーネル線型モデル",,,,,
,,"|","リスク関数と近似ターゲット","基礎概念","近似ターゲットの概念の理解",,,,,
,,"分類","決定論的アプローチ",,,,,,,
,,"|","代理損失","目的関数",,,,,,
,,"|","確率論的アプローチ",,,,,,,
,,"|","確率値への変換","モデル","シグモイド関数とソフトマックス関数の関数形を把握",,,,,
,,"|","KLダイバージェンスと最尤法","目的関数",,,,,,
,,"|","勾配法による最適化","最適化",,,,,,
,"情報収集","全般","論文サーベイ",,"学会論文をダウンロード",,,,,
,,"|","環境理解",,"研究成果が発表される過程の理解",,,,,
,"学習の哲学的背景","全般","帰納的学習",,,,,,,
,,"|","ノーフリーランチ",,,,,,,
,,"|","帰納的バイアス",,,,,,,
,"予測系タスク","分類","不均衡データ","基礎概念","不均衡データという問題の理解",,,,,
,,"|","|","評価指標","適合率，再現率，F値",,,,,
,,"|","|",,"アンダーバギングによる対処",,,,,
,,"全般","性能評価指標","基礎概念","必ずしもリスクとして表現されない性能指標の概念としての理解",,,,,
,,"|","|","評価指標","AUC，",,,,,
